Timestep,Alpha,Omega,Theta
13.7,0.014590117,-0.014985294,0.31849033
13.8,0.014509103,-0.013534384,0.31713689
13.9,0.014407389,-0.012093645,0.31592752
14,0.014285576,-0.010665088,0.31486101
14.1,0.014144286,-0.0092506591,0.31393595
14.2,0.013984154,-0.0078522437,0.31315072
14.3,0.013805832,-0.0064716605,0.31250356
14.4,0.013609988,-0.0051106617,0.31199249
14.5,0.013397299,-0.0037709318,0.3116154
14.6,0.013168457,-0.0024540861,0.31136999
14.7,0.012924162,-0.0011616699,0.31125382
14.8,0.012665123,0.0001048424,0.31126431
14.9,0.012392059,0.0013440483,0.31139871
15,0.012105692,0.0025546175,0.31165417
15.1,0.01180675,0.0037352925,0.3120277
15.2,0.011495967,0.0048848892,0.31251619
15.3,0.011174076,0.0060022969,0.31311642
15.4,0.010841815,0.0070864784,0.31382507
15.5,0.010499919,0.0081364703,0.31463872
15.6,0.010149124,0.0091513827,0.31555386
15.7,0.0097901644,0.010130399,0.3165669
15.8,0.0094237695,0.011072776,0.31767417
15.9,0.009050666,0.011977843,0.31887196
16,0.008671575,0.012845,0.32015646
16.1,0.0082872111,0.013673721,0.32152383
16.2,0.0078982821,0.01446355,0.32297018
16.3,0.0075054874,0.015214098,0.32449159
16.4,0.0071095174,0.01592505,0.3260841
16.5,0.0067110526,0.016596155,0.32774371
16.6,0.006310763,0.017227232,0.32946644
16.7,0.0059093066,0.017818162,0.33124825
16.8,0.0055073293,0.018368895,0.33308514
16.9,0.005105464,0.018879442,0.33497309
17,0.0047043298,0.019349875,0.33690807
17.1,0.0043045313,0.019780328,0.33888611
17.2,0.0039066581,0.020170993,0.34090321
17.3,0.0035112842,0.020522122,0.34295542
17.4,0.0031189673,0.020834019,0.34503882
17.5,0.0027302486,0.021107043,0.34714953
17.6,0.0023456519,0.021341609,0.34928369
17.7,0.0019656835,0.021538177,0.3514375
17.8,0.0015908317,0.02169726,0.35360723
17.9,0.0012215662,0.021819417,0.35578917
18,0.00085833832,0.021905251,0.3579797
18.1,0.00050158005,0.021955409,0.36017524
18.2,0.00015170423,0.021970579,0.3623723
18.3,-0.00019089581,0.021951489,0.36456744
18.4,-0.00052584645,0.021898905,0.36675733
18.5,-0.00085279394,0.021813625,0.3689387
18.6,-0.0011714045,0.021696485,0.37110835
18.7,-0.0014813643,0.021548349,0.37326318
18.8,-0.0017823798,0.021370111,0.37540019
18.9,-0.0020741775,0.021162693,0.37751646
19,-0.002356504,0.020927042,0.37960917
19.1,-0.0026291261,0.02066413,0.38167558
19.2,-0.0028918305,0.020374947,0.38371307
19.3,-0.0031444238,0.020060504,0.38571912
19.4,-0.0033867325,0.019721831,0.38769131
19.5,-0.0036186027,0.019359971,0.3896273
19.6,-0.0038398998,0.018975981,0.3915249
19.7,-0.0040505087,0.01857093,0.39338199
19.8,-0.0042503331,0.018145897,0.39519658
19.9,-0.0044392956,0.017701967,0.39696678
20,-0.004617337,0.017240233,0.3986908
20.1,-0.0047844165,0.016761792,0.40036698
20.2,-0.0049405111,0.016267741,0.40199376
20.3,-0.0050856152,0.015759179,0.40356968
20.4,-0.0052197404,0.015237205,0.4050934
20.5,-0.0053429149,0.014702914,0.40656369
20.6,-0.0054551833,0.014157395,0.40797943
20.7,-0.0055566062,0.013601735,0.4093396
20.8,-0.0056472596,0.013037009,0.4106433
20.9,-0.0057272345,0.012464285,0.41188973
21,-0.0057966364,0.011884622,0.41307819
21.1,-0.005855585,0.011299063,0.4142081
21.2,-0.0059042136,0.010708642,0.41527896
21.3,-0.0059426685,0.010114375,0.4162904
21.4,-0.0059711087,0.0095172641,0.41724213
21.5,-0.0059897052,0.0089182935,0.41813396
21.6,-0.0059986406,0.0083184295,0.4189658
21.7,-0.0059981084,0.0077186186,0.41973766
21.8,-0.0059883127,0.0071197874,0.42044964
21.9,-0.0059694677,0.0065228406,0.42110192
22,-0.0059417966,0.0059286609,0.42169479
22.1,-0.0059055317,0.0053381078,0.4222286
22.2,-0.0058609137,0.0047520164,0.4227038
22.3,-0.0058081909,0.0041711973,0.42312092
22.4,-0.0057476188,0.0035964354,0.42348057
22.5,-0.0056794596,0.0030284895,0.42378341
22.6,-0.0056039815,0.0024680913,0.42403022
22.7,-0.0055214585,0.0019159455,0.42422182
22.8,-0.0054321694,0.0013727285,0.42435909
22.9,-0.0053363976,0.00083908876,0.424443
23,-0.0052344302,0.00031564573,0.42447456
23.1,-0.0051265581,-0.00019701008,0.42445486
23.2,-0.0050130748,-0.00069831756,0.42438503
23.3,-0.0048942763,-0.0011877452,0.42426626
23.4,-0.0047704604,-0.0016647912,0.42409978
23.5,-0.0046419262,-0.0021289839,0.42388688
23.6,-0.004508974,-0.0025798813,0.42362889
23.7,-0.004371904,-0.0030170717,0.42332718
23.8,-0.0042310167,-0.0034401733,0.42298317
23.9,-0.004086612,-0.0038488345,0.42259828
24,-0.0039389886,-0.0042427334,0.42217401
24.1,-0.003788444,-0.0046215778,0.42171185
24.2,-0.0036352736,-0.0049851052,0.42121334
24.3,-0.0034797708,-0.0053330822,0.42068003
24.4,-0.003322226,-0.0056653048,0.4201135
24.5,-0.0031629268,-0.0059815975,0.41951534
24.6,-0.0030021571,-0.0062818132,0.41888716
24.7,-0.0028401972,-0.0065658329,0.41823058
24.8,-0.0026773231,-0.0068335653,0.41754722
24.9,-0.0025138062,-0.0070849459,0.41683873
25,-0.0023499133,-0.0073199372,0.41610673
25.1,-0.0021859058,-0.0075385278,0.41535288
25.2,-0.0020220399,-0.0077407318,0.41457881
25.3,-0.001858566,-0.0079265884,0.41378615
25.4,-0.0016957283,-0.0080961612,0.41297653
25.5,-0.0015337652,-0.0082495377,0.41215158
25.6,-0.0013729082,-0.0083868285,0.4113129
25.7,-0.0012133824,-0.0085081668,0.41046208
25.8,-0.0010554059,-0.0086137074,0.40960071
25.9,-0.00089918978,-0.0087036263,0.40873035
26,-0.00074493778,-0.0087781201,0.40785253
26.1,-0.0005928463,-0.0088374048,0.40696879
26.2,-0.00044310414,-0.0088817152,0.40608062
26.3,-0.00029589245,-0.0089113044,0.40518949
26.4,-0.00015138455,-0.0089264429,0.40429685
26.5,-9.7458712e-06,-0.0089274175,0.40340411
26.6,0.00012886615,-0.0089145308,0.40251265
26.7,0.00026430214,-0.0088881006,0.40162384
26.8,0.00039642083,-0.0088484585,0.400739
26.9,0.00052508913,-0.0087959496,0.3998594
27,0.00065018214,-0.0087309314,0.39898631
27.1,0.00077158316,-0.0086537731,0.39812093
27.2,0.00088918372,-0.0085648547,0.39726445
27.3,0.0010028835,-0.0084645664,0.39641799
27.4,0.0011125905,-0.0083533073,0.39558266
27.5,0.0012182208,-0.0082314852,0.39475951
27.6,0.0013196985,-0.0080995154,0.39394956
27.7,0.0014169558,-0.0079578198,0.39315378
27.8,0.0015099329,-0.0078068265,0.39237309
27.9,0.001598578,-0.0076469687,0.3916084
28,0.001682847,-0.007478684,0.39086053
28.1,0.0017627034,-0.0073024137,0.39013029
28.2,0.0018381186,-0.0071186018,0.38941843
28.3,0.0019090713,-0.0069276947,0.38872566
28.4,0.0019755475,-0.0067301399,0.38805264
28.5,0.0020375406,-0.0065263859,0.3874
28.6,0.0020950509,-0.0063168808,0.38676832
28.7,0.0021480857,-0.0061020722,0.38615811
