Timestep,Alpha,Omega,Theta
14.2,-0.018284615,0.10844374,0.63452395
14.3,-0.045574432,0.10756962,0.65321488
14.4,-0.062697199,0.10982877,0.69169558
14.5,-0.087336855,0.10364427,0.68621201
14.6,-0.064769923,0.09982418,0.67068182
14.7,-0.041552677,0.10059662,0.68003114
14.8,-0.049924311,0.099034723,0.68901008
14.9,-0.051476892,0.091623346,0.65420732
15,-0.015462765,0.092966874,0.65511217
15.1,-0.025335044,0.094283161,0.67890459
15.2,-0.055976185,0.094099871,0.70980991
15.3,-0.078309205,0.0888494,0.70552086
15.4,-0.0633198,0.089884255,0.72808346
15.5,-0.080139549,0.087757419,0.74644268
15.6,-0.08664043,0.084717346,0.75411487
15.7,-0.081954098,0.08287963,0.7648897
15.8,-0.081689125,0.079908742,0.76780343
15.9,-0.074434513,0.0771773,0.76612953
16,-0.064149458,0.072546051,0.73950461
16.1,-0.035994006,0.073427088,0.74659808
16.2,-0.051113395,0.073324398,0.77708187
16.3,-0.083524099,0.069857267,0.79696462
16.4,-0.090594637,0.064587655,0.78201033
16.5,-0.064960773,0.061455466,0.75546518
16.6,-0.038011022,0.060734053,0.7450338
16.7,-0.034268232,0.059223881,0.74115395
16.8,-0.037179493,0.056915573,0.73363437
16.9,-0.03524778,0.054524138,0.71980401
17,-0.029379313,0.056968765,0.76369829
17.1,-0.067874318,0.048378608,0.71587267
17.2,-0.018467783,0.051138874,0.72261281
17.3,-0.03582666,0.048372912,0.71926222
17.4,-0.036232905,0.044763415,0.68721218
17.5,-0.010599676,0.046953387,0.70380954
17.6,-0.039022234,0.043708141,0.70501673
17.7,-0.042893383,0.041332997,0.69747557
17.8,-0.038059068,0.040510814,0.70350959
17.9,-0.049927419,0.039682621,0.73545961
18,-0.078888396,0.034760797,0.73292444
18.1,-0.066996844,0.032847322,0.72978462
18.2,-0.057973315,0.030482979,0.71293772
18.3,-0.040409308,0.030333739,0.71935513
18.4,-0.049343268,0.027567038,0.71102319
18.5,-0.041144721,0.025452287,0.68295451
18.6,-0.018029679,0.026410592,0.68829149
18.7,-0.033979752,0.024406481,0.69568667
18.8,-0.04915451,0.022884536,0.73193646
18.9,-0.080935139,0.01755841,0.72137855
19,-0.061385853,0.016641046,0.72625257
19.1,-0.060407554,0.013864488,0.69969791
19.2,-0.03303909,0.014284787,0.69549205
19.3,-0.03391466,0.012519551,0.67333573
19.4,-0.018438338,0.013107586,0.68934739
19.5,-0.04462665,0.0099785597,0.69835805
19.6,-0.053076425,0.0072979201,0.68488406
19.7,-0.039525784,0.0068533742,0.69946307
19.8,-0.05796705,0.0036886668,0.71302302
19.9,-0.069697696,0.00046068775,0.72783109
20,-0.077069289,-0.0028419214,0.72528245
20.1,-0.066640067,-0.0046376398,0.72587114
20.2,-0.063782746,-0.0068808678,0.73759207
20.3,-0.069016327,-0.0095412096,0.71462073
20.4,-0.043039222,-0.0091617335,0.6902852
20.5,-0.024111004,-0.0087035901,0.67879433
20.6,-0.022548023,-0.0093646173,0.67297454
20.7,-0.026168614,-0.010482571,0.66722901
20.8,-0.02882329,-0.011819762,0.67364983
20.9,-0.041559873,-0.014198111,0.67550431
21,-0.045292491,-0.016045446,0.67218866
21.1,-0.043173424,-0.017515316,0.6721032
21.2,-0.044560825,-0.019196775,0.66954314
21.3,-0.043319193,-0.020736727,0.66954839
21.4,-0.043879366,-0.021988417,0.6558113
21.5,-0.032249624,-0.022458291,0.65551063
21.6,-0.035944931,-0.023597206,0.6423988
21.7,-0.027224937,-0.024371912,0.6502836
21.8,-0.040147146,-0.026495777,0.64464127
21.9,-0.035886454,-0.0269918,0.63011773
22,-0.025306493,-0.027810709,0.6420393
22.1,-0.039213547,-0.028841573,0.61111328
22.2,-0.011010443,-0.028057208,0.62270318
22.3,-0.033987268,-0.031506049,0.63788527
22.4,-0.050415994,-0.034251491,0.6334602
22.5,-0.044111934,-0.035982702,0.64140216
22.6,-0.048514815,-0.03658394,0.61396062
22.7,-0.021222076,-0.035382167,0.60841755
22.8,-0.021720984,-0.034684459,0.5809054
22.9,-0.0026619255,-0.033018773,0.57043621
23,-0.0045945843,-0.033432769,0.57130169
23.1,-0.01451672,-0.033308778,0.54812206
23.2,0.00070661833,-0.032678961,0.55285868
23.3,-0.015672608,-0.034895396,0.56166182
23.4,-0.028341075,-0.036049371,0.54916585
23.5,-0.017884186,-0.033972133,0.51645024
23.6,0.0070465018,-0.031226375,0.50163178
23.7,0.009487166,-0.03116324,0.50756019
23.8,-0.0062559794,-0.031077008,0.48506124
23.9,0.00961716,-0.030628901,0.49815177
24,-0.015298455,-0.033766475,0.51297224
24.1,-0.031778698,-0.036009139,0.51198949
24.2,-0.028779329,-0.037918325,0.52526164
24.3,-0.037456771,-0.03842709,0.50417704
24.4,-0.014639367,-0.036020571,0.48328761
24.5,0.0019832767,-0.034994149,0.48337047
24.6,-0.0062599804,-0.035979279,0.48521357
24.7,-0.01268546,-0.036373656,0.47739802
24.8,-0.0080956931,-0.035707559,0.4672831
24.9,-0.0028344804,-0.034183796,0.4491689
25,0.0087272307,-0.032974858,0.44596874
25.1,0.0034368371,-0.031854822,0.42690687
25.2,0.015031188,-0.030636925,0.42676773
25.3,0.0056983987,-0.030682931,0.42097922
25.4,0.0050490273,-0.030878234,0.42449581
25.5,-0.0028439004,-0.029885437,0.40151352
25.6,0.016456009,-0.028388915,0.40498183
25.7,0.0046025714,-0.028904368,0.40296568
25.8,0.0019967184,-0.029436261,0.40799209
25.9,-0.0062288196,-0.030330316,0.40882891
26,-0.0077596907,-0.030944222,0.41077451
26.1,-0.010181018,-0.032495769,0.4230736
26.2,-0.020414908,-0.033300418,0.41407357
26.3,-0.0083717004,-0.032611463,0.40998715
26.4,-0.0047268563,-0.033562071,0.4213537
26.5,-0.01780101,-0.035954844,0.43132271
26.6,-0.023901871,-0.036713883,0.42385509
26.7,-0.012636621,-0.035434285,0.41071386
26.8,0.00024420433,-0.034265821,0.40552532
26.9,0.0018326017,-0.033667031,0.39922428
27,0.0041649328,-0.03303427,0.39411085
27.1,0.0049853371,-0.032858187,0.3936192
27.2,0.001455158,-0.032925449,0.39117753
27.3,0.0010754382,-0.032973549,0.39071778
27.4,-0.00087431104,-0.033023511,0.38825024
27.5,-0.00018334871,-0.033632654,0.39457023
27.6,-0.0080891181,-0.034737673,0.39683228
27.7,-0.0097948283,-0.036241616,0.40723649
27.8,-0.017267976,-0.036188157,0.39286158
27.9,-0.00027309071,-0.035190136,0.39234892
28,-0.0019110582,-0.036316748,0.40156449
28.1,-0.013831757,-0.039905649,0.42559464
28.2,-0.035009373,-0.043123625,0.4301118
28.3,-0.031566793,-0.046257746,0.45005941
28.4,-0.044322997,-0.049632137,0.45714147
28.5,-0.041753056,-0.053365948,0.47668156
28.6,-0.050909639,-0.055973404,0.47584914
28.7,-0.037191127,-0.05225878,0.43832291
28.8,0.0048348487,-0.049456484,0.43695002
28.9,-0.00036705718,-0.049153641,0.42946081
29,0.0023977349,-0.051610711,0.45117218
29.1,-0.025003689,-0.055594883,0.46052131
29.2,-0.030153749,-0.056920587,0.45743948
29.3,-0.022696421,-0.059566356,0.47342177
29.4,-0.035219211,-0.061456616,0.4694759
29.5,-0.025946116,-0.06486928,0.49012986
29.6,-0.040730458,-0.065603307,0.47483366
29.7,-0.018881262,-0.066535657,0.48404439
29.8,-0.027966879,-0.0685629,0.48447911
29.9,-0.024721891,-0.066115528,0.4599309
30,0.00038003896,-0.065405654,0.46376681
30.1,-0.0086349015,-0.063900933,0.44454872
30.2,0.0064213991,-0.063234521,0.44589297
30.3,-0.0024614631,-0.063538128,0.44107928
30.4,-0.0024968279,-0.064506996,0.44471764
30.5,-0.010280931,-0.065685935,0.44435471
30.6,-0.011674928,-0.066834771,0.44609349
30.7,-0.014049028,-0.066305632,0.4357046
30.8,-0.0042111665,-0.067922582,0.44679729
30.9,-0.017196532,-0.068088156,0.43581026
31,-0.0057937899,-0.068970644,0.44211501
31.1,-0.013107132,-0.066658645,0.4189343
31.2,0.0099001004,-0.067252773,0.4315857
31.3,-0.0095298313,-0.068766425,0.42854224
31.4,-0.0077955366,-0.068560783,0.4236475
31.5,-0.0048105155,-0.06817865,0.41887467
31.6,-0.0027770799,-0.066036147,0.40357974
31.7,0.0073293254,-0.061902149,0.38185105
31.8,0.021447667,-0.059410339,0.37482426
31.9,0.018487436,-0.059184855,0.37434896
32,0.010913177,-0.056543497,0.35524
32.1,0.023803623,-0.055111949,0.35493004
32.2,0.015180967,-0.056901124,0.36433268
32.3,0.00037264112,-0.058341796,0.36541407
32.4,-0.0014921016,-0.058694126,0.36435724
32.5,-0.00069125764,-0.059663925,0.36827766
32.6,-0.0047661317,-0.059839598,0.36447733
32.7,-0.00031069501,-0.059885842,0.36419881
32.8,-0.00061077944,-0.059372218,0.35867145
32.9,0.0042116304,-0.059194495,0.35820892
33,0.0027741082,-0.061865156,0.3719931
33.1,-0.010753385,-0.061780899,0.36169861
33.2,0.0021280462,-0.061795843,0.36473727
33.3,-0.0021746261,-0.063202755,0.36854975
33.4,-0.0056323284,-0.063575142,0.36587612
33.5,-0.0018310098,-0.064976001,0.37245442
33.6,-0.0088175205,-0.068252341,0.38412613
33.7,-0.016856795,-0.067658364,0.3719816
33.8,-0.0010538653,-0.066623419,0.36918496
33.9,0.00079109335,-0.065084054,0.35916529
34,0.0083766068,-0.062497585,0.3471029
34.1,0.017422562,-0.063559471,0.35733058
34.2,0.0018236195,-0.064349563,0.35418889
34.3,0.0038745052,-0.06380145,0.35035762
34.4,0.0058518279,-0.062210748,0.34130296
34.5,0.012647502,-0.061846176,0.34196001
34.6,0.008121788,-0.059718015,0.32820085
34.7,0.017092467,-0.055748262,0.31115599
34.8,0.029850845,-0.055526931,0.31852253
34.9,0.014825781,-0.054389836,0.3077512
35,0.021922259,-0.053565254,0.30826851
35.1,0.016086584,-0.052723036,0.30281804
35.2,0.018703928,-0.05341841,0.30970514
35.3,0.0079239563,-0.056816353,0.32483988
35.4,-0.0062904587,-0.057504666,0.32015598
35.5,0.0020235484,-0.056087741,0.31363391
35.6,0.01020807,-0.056868957,0.3208538
35.7,0.0024333666,-0.05596059,0.31145983
35.8,0.012163156,-0.054296462,0.30621907
35.9,0.014627905,-0.051869173,0.29468863
36,0.024172613,-0.051867615,0.30125182
36.1,0.012647706,-0.053114867,0.30493428
36.2,0.0078294732,-0.053376246,0.30435978
36.3,0.008150951,-0.050682908,0.28913338
36.4,0.022789136,-0.04907717,0.28833043
36.5,0.019366781,-0.049123603,0.28970792
36.6,0.015278192,-0.050165988,0.29573454
36.7,0.008174643,-0.048762223,0.28487979
36.8,0.018963971,-0.047198637,0.28216776
36.9,0.019441445,-0.047776909,0.28828686
37,0.011021665,-0.048657827,0.29099171
37.1,0.0085067889,-0.047258397,0.28189337
37.2,0.016969483,-0.04467406,0.27191251
37.3,0.023817217,-0.042285285,0.26393605
37.4,0.028468058,-0.041779418,0.26764547
37.5,0.020105355,-0.040861367,0.26167088
37.6,0.023689299,-0.03955784,0.25898205
37.7,0.022254814,-0.036876237,0.24500509
37.8,0.035491485,-0.036290113,0.25404681
37.9,0.020925723,-0.035561852,0.24662996
38,0.025321683,-0.033100986,0.23688865
38.1,0.030930039,-0.030774382,0.22993336
38.2,0.035866482,-0.031020281,0.24280376
38.3,0.018121436,-0.032297845,0.24797286
38.4,0.013770485,-0.032291873,0.24851724
38.5,0.015096313,-0.031740464,0.24805984
38.6,0.016108733,-0.029942338,0.2381507
38.7,0.027297255,-0.028832817,0.24194774
38.8,0.021320471,-0.028804236,0.24406143
38.9,0.019242274,-0.029137556,0.25067759
39,0.013222132,-0.030060549,0.25836495
39.1,0.0080032311,-0.028560729,0.24421348
39.2,0.025323423,-0.026822408,0.24580024
39.3,0.021077505,-0.025138817,0.23419964
39.4,0.03087145,-0.02309947,0.23082779
39.5,0.030913869,-0.022218882,0.2326577
39.6,0.025020901,-0.020511784,0.21987351
39.7,0.033826974,-0.017938166,0.2110951
39.8,0.039121847,-0.016422517,0.21362598
39.9,0.031920445,-0.015900574,0.2156383
40,0.027290434,-0.015016701,0.21280117
40.1,0.030300636,-0.014294765,0.22058322
40.2,0.02130097,-0.01447853,0.22618818
40.3,0.016950834,-0.013942461,0.22278054
40.4,0.024119014,-0.013301326,0.23350506
40.5,0.014000582,-0.013262396,0.23014966
40.6,0.02035322,-0.012171877,0.23080851
40.7,0.020224022,-0.011179919,0.22560317
40.8,0.025578006,-0.0097402053,0.22210082
40.9,0.028383756,-0.0085707623,0.22304732
